iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,145,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ADI","ANALOG DEVICES","Information Technology","Equity","2,300,204,108.92","0.26","2,300,204,108.92","6,488,221.00","354.52","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","2,298,285,199.08","0.26","2,298,285,199.08","27,713,556.00","82.93","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","2,293,059,223.84","0.26","2,293,059,223.84","7,890,232.00","290.62","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,292,929,411.05","0.26","2,292,929,411.05","7,072,795.00","324.19","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","2,257,003,837.44","0.26","2,257,003,837.44","3,338,368.00","676.08","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","2,255,436,999.54","0.26","2,255,436,999.54","9,381,237.00","240.42","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","2,205,014,565.37","0.25","2,205,014,565.37","16,190,723.00","136.19","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","2,164,432,449.30","0.25","2,164,432,449.30","1,918,653.00","1,128.10","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","2,161,578,656.35","0.25","2,161,578,656.35","75,712,037.00","28.55","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,154,537,554.26","0.25","2,154,537,554.26","10,476,211.00","205.66","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,063,260,239.36","0.24","2,063,260,239.36","4,580,544.00","450.44","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","2,035,426,413.24","0.23","2,035,426,413.24","27,052,451.00","75.24","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,016,283,179.02","0.23","2,016,283,179.02","5,160,562.00","390.71","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","2,015,157,695.76","0.23","2,015,157,695.76","10,297,704.00","195.69","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","1,958,524,809.80","0.22","1,958,524,809.80","13,705,562.00","142.90","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX","Consumer Discretionary","Equity","1,958,548,847.19","0.22","1,958,548,847.19","14,696,097.00","133.27","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","1,847,362,553.10","0.21","1,847,362,553.10","3,373,254.00","547.65","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,816,114,442.80","0.21","1,816,114,442.80","27,138,590.00","66.92","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","1,773,746,516.99","0.20","1,773,746,516.99","4,029,319.00","440.21","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","1,759,949,143.20","0.20","1,759,949,143.20","12,599,865.00","139.68","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,747,836,748.40","0.20","1,747,836,748.40","8,270,260.00","211.34","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,739,843,414.61","0.20","1,739,843,414.61","14,187,747.00","122.63","United States","NYSE","USD","1.00","USD","-"
